Date,Close,High,Low,Open,Volume,sector_XLB_ret,sector_XLC_ret,sector_XLE_ret,sector_XLF_ret,sector_XLI_ret,sector_XLK_ret,sector_XLP_ret,sector_XLRE_ret,sector_XLU_ret,sector_XLV_ret,sector_XLY_ret,MA5,EMA5,Close/MA5,MA10,EMA10,Close/MA10,MA20,EMA20,Close/MA20,MA50,EMA50,Close/MA50,MA100,EMA100,Close/MA100,MA200,EMA200,Close/MA200,RSI,MACD,MACD_signal,Momentum,Volatility_5,Range_5,Volatility_10,Range_10,Volatility_20,Range_20,Return_1d,Return_1d_future,Return_5d,Return_5d_future,Return_10d,Return_10d_future,DayOfWeek,Day,Month,Year,IsMonthStart,IsMonthEnd,Target
2015-01-02,2058.199951171875,2072.360107421875,2046.0400390625,2058.89990234375,2708700000,,,,,,,,,,,,,2058.199951171875,,,2058.199951171875,,,2058.199951171875,,,2058.199951171875,,,2058.199951171875,,,2058.199951171875,,,0.0,0.0,,,,,,,,,0.018618414482663104,,0.006548232938238474,,0.019203487329361613,4,2,1,2015,0,0,0
2015-01-05,2020.5799560546875,2054.43994140625,2017.3399658203125,2054.43994140625,3799120000,,,,,,,,,,,,,2045.6599527994795,,,2051.359952059659,,,2054.6170944940477,,,2056.7246572457107,,,2057.4550007735147,,,2057.8256228622513,,,-3.0010252515135107,-0.6002050503027022,,,,,,,,-0.018278105145113743,0.008973275293027383,,-0.003786523263269892,,-0.0009740637936643814,0,5,1,2015,0,0,0
2015-01-06,2002.6099853515625,2030.25,1992.43994140625,2022.1500244140625,4460110000,,,,,,,,,,,,,2031.3099636501738,,,2042.4963217490958,,,2049.6640364804775,,,2054.6025132498617,,,2056.368960864169,,,2057.276213533787,,,-6.751558080139148,-1.8304756562699915,,,,,,,,-0.008893471722946522,-0.01149614432194701,,-0.01009379181208181,,-0.014521785050357283,1,6,1,2015,0,0,1
2015-01-07,2025.9000244140625,2029.6099853515625,2005.550048828125,2005.550048828125,3805480000,,,,,,,,,,,,,2029.5066505714701,,,2039.478813142726,,,2047.400797236057,,,2053.4769254523794,,,2055.765615587929,,,2056.9640126470235,,,-7.755174039687972,-3.015415332953588,,,,,,,,0.01162984267174294,-0.01757391353248816,,0.007274013305395011,,-0.018054857714105754,2,7,1,2015,0,0,1
2015-01-08,2062.139892578125,2064.080078125,2030.6099853515625,2030.6099853515625,3934010000,,,,,,,,,,,,2033.8859619140626,2040.3843979070218,1.0138916002141403,,2043.5990094037077,,,2048.8045206019683,,,2053.816649653389,,,2055.8918388946654,,,2057.0155139398703,,,-5.5621751340563605,-3.5247672931741425,,25.53657363087472,31.7520263671875,,,,,0.017888280629516196,0.008475033615734873,,0.034862695328760074,,0.005029595127706177,3,8,1,2015,0,0,0
2015-01-09,2044.81005859375,2064.429931640625,2038.3299560546875,2063.449951171875,3364140000,,,,,,,,,,,,2031.2079833984376,2041.8596181359312,1.0066965447686724,,2043.8192001655334,,,2048.4240956488047,,,2053.4634500039915,,,2055.6723977005877,,,2056.8940666229937,,,-5.163063886129294,-3.852426611765173,,22.917102463050046,31.7080078125,,,,,-0.008403811034715436,0.00815972742569504,-0.006505632540949824,0.01257292395634213,,-0.0059696118167907875,4,9,1,2015,0,0,0
2015-01-12,2028.260009765625,2049.300048828125,2022.5799560546875,2046.1300048828125,3456460000,,,,,,,,,,,,2032.743994140625,2037.3264153458292,0.9977941224335553,,2040.990256456459,,,2046.5037065170732,,,2052.4750797985657,,,2055.1295781375193,,,2056.6091506343632,,,-6.111763368930269,-4.304293963198193,,22.27506049109306,29.63203125,,,,,-0.008093685160912578,0.0025852213724022466,0.0038009155183016397,0.002823149390448254,,-0.0006356281104005213,0,12,1,2015,0,0,0
2015-01-13,2023.030029296875,2056.929931640625,2008.25,2031.5799560546875,4107300000,,,,,,,,,,,,2036.8280029296875,2032.5609533295112,0.9932257541564795,,2037.724760609262,,,2044.2681182103875,,,2051.3203719357543,,,2054.4939435070114,,,2056.27503002404,,,-7.202603133658158,-4.883955797290186,,16.489544170989333,31.806005859375,,,,,-0.0025785552362955766,0.005847056661425265,0.010196715333828488,-0.004473144224826253,,0.010423739741532767,1,13,1,2015,0,0,0
2015-01-14,2011.27001953125,2018.4000244140625,1988.43994140625,2018.4000244140625,4378680000,,,,,,,,,,,,2033.902001953125,2025.4639753967576,0.9888726288679879,,2032.914807685987,,,2041.1254421457077,,,2049.749769880676,,,2053.6380242203627,,,2055.8272189743607,,,-8.913289162726642,-5.689822470377478,,19.865816496249607,32.98603515625,,,,,-0.005813067327385291,0.009334197421421164,-0.007221484133721701,-0.02514595897930838,,-0.004937528988868234,2,14,1,2015,0,0,0
2015-01-15,1992.6700439453125,2021.3499755859373,1991.469970703125,2013.75,4276720000,,,,,,,,,,,,2020.0080322265626,2014.5326649129427,0.986466396249367,2026.9469970703126,2025.597577914955,0.9830893688021725,,2036.5106423170987,,,2047.51134925576,,,2052.430737482243,,,2055.1987893720816,,,-11.635753030957858,-6.8790085824935545,,19.46847824462679,32.268017578124955,22.622617205144156,32.010021972656226,,,-0.009247875921837956,-0.013246377384538044,-0.033688232734763734,-0.028828075778281392,,-0.0011628861800905277,3,15,1,2015,0,0,1
